Generating SQLite file profile_2d_fft.sqlite from profile_2d_fft.nsys-rep
Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  -----------  ---------  --------  ----------  -----------  ----------------------
     82.2   27,432,608,146    499,873     54,879.2   21,404.0     2,518   1,083,462     83,544.5  cudaStreamSynchronize 
     12.0    4,018,835,385  2,225,185      1,806.1    1,759.0     1,592   1,206,604      3,647.7  cudaLaunchKernel      
      4.8    1,603,922,536    975,749      1,643.8    1,610.0     1,300   1,186,036      3,116.5  cudaMemcpyAsync       
      0.6      216,660,309    118,730      1,824.8    1,761.0     1,654   1,152,583      5,457.8  cuLaunchKernel        
      0.2       80,940,665         66  1,226,373.7   28,678.5     2,084  79,236,186  9,750,100.6  cudaMalloc            
      0.0       15,533,729    347,313         44.7       44.0        37       1,659         12.8  cuKernelGetName       
      0.0        5,597,732         66     84,814.1  102,004.5     2,140     312,509     71,285.5  cudaFree              
      0.0        1,900,667          9    211,185.2  202,970.0   199,706     282,650     26,853.2  cudaMemcpy            
      0.0          881,475          4    220,368.8  197,009.5   140,469     346,987     89,452.2  cuModuleLoadData      
      0.0          622,179         25     24,887.2    4,175.0     3,025     498,560     98,753.0  cudaMallocHost        
      0.0          527,344          5    105,468.8    4,231.0     3,783     482,922    211,361.3  cuMemcpyHtoD_v2       
